current_rank,song_title,artist_name,last_week_rank
1,Last Night,Morgan Wallen,1
2,Fast Car,Luke Combs,3
3,Calm Down,Rema & Selena Gomez,4
4,Flowers,Miley Cyrus,2
5,All My Life,Lil Durk Featuring J. Cole,5
6,Favorite Song,Toosii,6
7,Karma,Taylor Swift Featuring Ice Spice,9
8,Kill Bill,SZA,7
9,Creepin',"Metro Boomin, The Weeknd & 21 Savage",8
10,Ella Baila Sola,Eslabon Armado X Peso Pluma,10
11,Sure Thing,Miguel,11
12,Anti-Hero,Taylor Swift,12
13,Snooze,SZA,15
14,Something In The Orange,Zach Bryan,14
15,Die For You,The Weeknd & Ariana Grande,13
16,Fukumean,Gunna,0
17,Need A Favor,Jelly Roll,19
18,Cruel Summer,Taylor Swift,39
19,La Bebe,Yng Lvcas x Peso Pluma,16
20,You Proof,Morgan Wallen,21
21,Un x100to,Grupo Frontera X Bad Bunny,18
22,Thinkin' Bout Me,Morgan Wallen,22
23,Rock And A Hard Place,Bailey Zimmerman,25
24,Cupid,Fifty Fifty,24
25,Search & Rescue,Drake,20
26,Chemical,Post Malone,23
27,Eyes Closed,Ed Sheeran,26
28,Next Thing You Know,Jordan Davis,28
29,Back To The Moon,Gunna,0
30,Where She Goes,Bad Bunny,17
31,Attention,Doja Cat,0
32,I'm Good (Blue),David Guetta & Bebe Rexha,31
33,Thought You Should Know,Morgan Wallen,30
34,Dance The Night,Dua Lipa,32
35,Dancin' In The Country,Tyler Hubbard,34
36,Religiously,Bailey Zimmerman,42
37,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,27
38,Memory Lane,Old Dominion,36
39,Put It On Da Floor Again,Latto Featuring Cardi B,29
40,Area Codes,Kali,33
41,Stand By Me,Lil Durk Featuring Morgan Wallen,41
42,Rodeo Dr,Gunna,0
43,Tennessee Orange,Megan Moroney,38
44,"Bzrp Music Sessions, Vol. 55",Bizarrap & Peso Pluma,37
45,Love You Anyway,Luke Combs,49
46,One Thing At A Time,Morgan Wallen,35
47,TQM,Fuerza Regida,40
48,Players,Coi Leray,45
49,Under The Influence,Chris Brown,44
50,Thank God,Kane Brown With Katelyn Brown,50
51,Back At It,Gunna,0
52,Bread & Butter,Gunna,81
53,Princess Diana,Ice Spice & Nicki Minaj,52
54,Bye,Peso Pluma,53
55,Calling,"Metro Boomin, Swae Lee & NAV Featuring A Boogie Wit da Hoodie",46
56,Daylight,David Kushner,56
57,What It Is (Block Boy),Doechii Featuring Kodak Black,60
58,Annihilate,"Metro Boomin, Swae Lee, Lil Wayne & Offset",47
59,Bury Me In Georgia,Kane Brown,64
60,Ca$h $hit,Gunna,0
61,Self Love,Metro Boomin & Coi Leray,54
62,Bottom,Gunna,0
63,It Matters To Her,Scotty McCreery,55
64,Dial Drunk,Noah Kahan,43
65,PRC,Peso Pluma X Natanael Cano,57
66,Por Las Noches,Peso Pluma,58
67,Mourning,Post Malone,59
68,Am I Dreaming,"Metro Boomin, A$AP Rocky & Roisee",51
69,Waffle House,Jonas Brothers,65
70,See You Again,"Tyler, The Creator Featuring Kali Uchis",61
71,TQG,Karol G x Shakira,62
72,Your Heart Or Mine,Jon Pardi,67
73,Peaches & Eggplants,Young Nudy Featuring 21 Savage,74
74,El Azul,Junior H x Peso Pluma,63
75,"You, Me, & Whiskey",Justin Moore & Priscilla Block,66
76,IDK NoMore,Gunna,0
77,P Angels,Gunna,0
78,Cowgirls,Morgan Wallen Featuring ERNEST,69
79,Baby Don't Hurt Me,"David Guetta, Anne-Marie & Coi Leray",71
80,Popular,"The Weeknd, Playboi Carti & Madonna",72
81,Fight The Feeling,Rod Wave,76
82,Slut Me Out,NLE Choppa,73
83,Paybach,Gunna,0
84,Plebada,El Alfa x Peso Pluma,68
85,Save Me,Jelly Roll With Lainey Wilson,96
86,Fragil,Yahritza y Su Esencia x Grupo Frontera,83
87,Jaded,Miley Cyrus,85
88,ICU,Coco Jones,70
89,Truck Bed,HARDY,89
90,Ain't That Some,Morgan Wallen,77
91,Shake Sumn,DaBaby,78
92,Trustfall,P!nk,82
93,People,Libianca,80
94,Go Crazy,Gunna,0
95,Chanel,Becky G & Peso Pluma,79
96,"Angel, Pt. 1","Kodak Black, NLE Choppa, Jimin, JVKE & Muni Long",0
97,Girl In Mine,Parmalee,0
98,Moonlight,Kali Uchis,90
99,Classy 101,Feid x Young Miko,0
100,Bluffin,Gucci Mane & Lil Baby,0
