artist,song_name
Little Simz,"""Gorilla"" "
Ian William Craig,"""Attention For It Radiates"""
Viking Ding Dong x Ravi B,"""Leave It Alone (Remix)"""
Adeem the Artist,"""Middle of a Heart"" "
"Zahsosaa, D STURDY & DJ Crazy","""Shakedhat"""
Gabriels,"""If You Only Knew"""
DOMi & JD BECK,"""SMiLE"""
Rema,"""Calm Down"""
Pigeon Pit,"""milk crates"""
Tyler Childers,"""Angel Band (Jubilee Version)"""
Straw Man Army,"""Human Kind"""
Guitarricadelafuente,"""Quien encendió la luz"""
Mary Halvorson,"""Night Shift"""
Leyla McCalla,"""Dodinin"""
The Mountain Goats,"""Bleed Out"""
NewJeans,"""Hype Boy"""
Joyce,"""Feminina"""
Ayra Starr,"""Rush"""
Disclosure feat. RAYE,"""Waterfall"""
Ari Lennox,"""POF"""
Little Simz,"""Gorilla"" "
Ian William Craig,"""Attention For It Radiates"""
Viking Ding Dong x Ravi B,"""Leave It Alone (Remix)"""
Adeem the Artist,"""Middle of a Heart"" "
"Zahsosaa, D STURDY & DJ Crazy","""Shakedhat"""
Gabriels,"""If You Only Knew"""
DOMi & JD BECK,"""SMiLE"""
Rema,"""Calm Down"""
Pigeon Pit,"""milk crates"""
Tyler Childers,"""Angel Band (Jubilee Version)"""
Straw Man Army,"""Human Kind"""
Guitarricadelafuente,"""Quien encendió la luz"""
Mary Halvorson,"""Night Shift"""
Leyla McCalla,"""Dodinin"""
The Mountain Goats,"""Bleed Out"""
NewJeans,"""Hype Boy"""
Joyce,"""Feminina"""
Ayra Starr,"""Rush"""
Disclosure feat. RAYE,"""Waterfall"""
Ari Lennox,"""POF"""
Little Simz,"""Gorilla"" "
Ian William Craig,"""Attention For It Radiates"""
Viking Ding Dong x Ravi B,"""Leave It Alone (Remix)"""
Adeem the Artist,"""Middle of a Heart"" "
"Zahsosaa, D STURDY & DJ Crazy","""Shakedhat"""
Gabriels,"""If You Only Knew"""
DOMi & JD BECK,"""SMiLE"""
Rema,"""Calm Down"""
Pigeon Pit,"""milk crates"""
Tyler Childers,"""Angel Band (Jubilee Version)"""
Straw Man Army,"""Human Kind"""
Guitarricadelafuente,"""Quien encendió la luz"""
Mary Halvorson,"""Night Shift"""
Leyla McCalla,"""Dodinin"""
The Mountain Goats,"""Bleed Out"""
NewJeans,"""Hype Boy"""
Joyce,"""Feminina"""
Ayra Starr,"""Rush"""
Disclosure feat. RAYE,"""Waterfall"""
Ari Lennox,"""POF"""
Little Simz,"""Gorilla"" "
Ian William Craig,"""Attention For It Radiates"""
Viking Ding Dong x Ravi B,"""Leave It Alone (Remix)"""
Adeem the Artist,"""Middle of a Heart"" "
"Zahsosaa, D STURDY & DJ Crazy","""Shakedhat"""
Gabriels,"""If You Only Knew"""
DOMi & JD BECK,"""SMiLE"""
Rema,"""Calm Down"""
Pigeon Pit,"""milk crates"""
Tyler Childers,"""Angel Band (Jubilee Version)"""
Straw Man Army,"""Human Kind"""
Guitarricadelafuente,"""Quien encendió la luz"""
Mary Halvorson,"""Night Shift"""
Leyla McCalla,"""Dodinin"""
The Mountain Goats,"""Bleed Out"""
NewJeans,"""Hype Boy"""
Joyce,"""Feminina"""
Ayra Starr,"""Rush"""
Disclosure feat. RAYE,"""Waterfall"""
Ari Lennox,"""POF"""
Little Simz,"""Gorilla"" "
Ian William Craig,"""Attention For It Radiates"""
Viking Ding Dong x Ravi B,"""Leave It Alone (Remix)"""
Adeem the Artist,"""Middle of a Heart"" "
"Zahsosaa, D STURDY & DJ Crazy","""Shakedhat"""
Gabriels,"""If You Only Knew"""
DOMi & JD BECK,"""SMiLE"""
Rema,"""Calm Down"""
Pigeon Pit,"""milk crates"""
Tyler Childers,"""Angel Band (Jubilee Version)"""
Straw Man Army,"""Human Kind"""
Guitarricadelafuente,"""Quien encendió la luz"""
Mary Halvorson,"""Night Shift"""
Leyla McCalla,"""Dodinin"""
The Mountain Goats,"""Bleed Out"""
NewJeans,"""Hype Boy"""
Joyce,"""Feminina"""
Ayra Starr,"""Rush"""
Disclosure feat. RAYE,"""Waterfall"""
Ari Lennox,"""POF"""
